Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate
62931593,F,52,Latino,Grad,25K --50K,South,City Hotel,11/18/2016,11/19/2016,10/28/2016,3,3,0,HB,No,No,No Deposit,Direct,Yes,Yes,10,153
70586099,F,47,Latino,Grad,25K --50K,East,Airport Hotels,11/18/2016,11/19/2016,8/6/2016,2,1,0,FB,No,No,No Deposit,Online,No,No,0,210
4230648,F,28,Asian American,Grad,<25K,East,City Hotel,4/28/2017,5/1/2017,4/8/2017,2,2,0,BB,No,No,No Deposit,Agent,No,Yes,5,117
25192322,F,65,caucasian,High-School,25K --50K,South,Airport Hotels,11/18/2016,11/20/2016,5/20/2016,1,3,2,FB,No,No,No Deposit,Online,Yes,Yes,10,107
80931528,M,45,African American,College,25K --50K,South,City Hotel,11/18/2016,11/20/2016,10/31/2016,3,1,0,BB,No,No,Refundable,Agent,No,No,0,119
64700386,M,65,Latino,High-School,>100K,South,City Hotel,11/18/2016,11/19/2016,7/28/2016,2,2,1,BB,No,No,No Deposit,Direct,Yes,Yes,5,195
16938050,F,26,Asian American,High-School,25K --50K,East,Resort,11/18/2016,11/20/2016,7/17/2016,4,2,0,BB,No,No,No Deposit,Agent,Yes,Yes,5,114
90487908,M,45,African American,High-School,<25K,South,Airport Hotels,11/18/2016,11/20/2016,8/1/2016,3,2,1,FB,No,No,No Deposit,Online,No,Yes,10,165
5595445,F,27,Latino,High-School,50K -- 100K,South,City Hotel,11/18/2016,11/19/2016,6/10/2016,1,1,0,FB,No,No,Non-Refundable,Direct,No,Yes,30,173
17502557,M,40,caucasian,College,50K -- 100K,West,Resort,11/18/2016,11/22/2016,4/15/2016,3,2,1,FB,No,No,No Deposit,Agent,No,No,0,129
92229895,M,27,caucasian,College,>100K,South,Airport Hotels,11/18/2016,11/19/2016,5/25/2016,3,1,2,BB,No,No,Refundable,Direct,Yes,No,0,220
27386334,M,44,Latino,Mid-School,<25K,South,City Hotel,11/18/2016,11/21/2016,6/9/2016,3,2,0,HB,No,No,Refundable,Online,Yes,No,0,250
76765181,F,48,Latino,Mid-School,50K -- 100K,South,Resort,11/18/2016,11/19/2016,7/31/2016,2,2,2,BB,No,No,No Deposit,Online,Yes,Yes,10,128
40697301,M,49,Latino,Mid-School,25K --50K,South,City Hotel,11/18/2016,11/19/2016,4/24/2016,2,2,1,FB,No,No,No Deposit,Online,Yes,Yes,20,106
63963888,F,57,caucasian,Mid-School,50K -- 100K,South,Resort,11/18/2016,11/21/2016,4/14/2016,1,1,0,FB,No,No,Refundable,Direct,Yes,Yes,5,232
27282946,F,57,Asian American,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,11/19/2016,2,3,0,HB,No,No,No Deposit,Online,No,No,0,164
8696141,M,61,African American,College,50K -- 100K,South,Airport Hotels,11/18/2016,11/21/2016,8/16/2016,1,3,0,BB,Yes,No,Refundable,Agent,Yes,Yes,10,180
52621292,M,29,Latino,College,25K --50K,South,Resort,11/18/2016,11/19/2016,7/19/2016,2,2,0,BB,Yes,No,Refundable,Online,Yes,Yes,10,220
21821230,M,39,Latino,Mid-School,50K -- 100K,North,Airport Hotels,11/18/2016,11/19/2016,6/30/2016,3,2,1,HB,Yes,Yes,Refundable,Online,No,Yes,20,153
12316731,M,55,Latino,College,50K -- 100K,North,Airport Hotels,11/18/2016,11/19/2016,10/4/2016,5,1,1,HB,No,No,No Deposit,Online,Yes,Yes,20,173
93926052,F,33,caucasian,High-School,50K -- 100K,North,Resort,11/18/2016,11/21/2016,8/9/2016,4,1,2,BB,No,No,No Deposit,Agent,No,Yes,10,143
5935873,F,18,caucasian,Grad,>100K,South,Airport Hotels,11/18/2016,11/19/2016,4/14/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,No,0,112
56971851,F,25,caucasian,College,25K --50K,South,City Hotel,11/18/2016,11/21/2016,4/18/2016,2,2,1,HB,Yes,No,Non-Refundable,Online,Yes,No,0,156
72701445,M,50,African American,Grad,50K -- 100K,East,Resort,11/18/2016,11/20/2016,5/26/2016,5,2,1,BB,No,No,No Deposit,Online,No,No,0,248
27017349,F,19,Asian American,College,50K -- 100K,South,City Hotel,11/18/2016,11/20/2016,10/12/2016,2,3,0,BB,Yes,No,No Deposit,Online,No,Yes,5,157
60891446,F,31,Asian American,High-School,50K -- 100K,North,City Hotel,11/19/2016,11/20/2016,7/15/2016,1,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,143
27044174,M,65,caucasian,Grad,>100K,South,Resort,11/19/2016,11/20/2016,6/29/2016,2,1,1,HB,No,No,No Deposit,Direct,Yes,Yes,10,214
88238517,F,60,Asian American,College,>100K,South,City Hotel,11/19/2016,11/20/2016,4/14/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,239
61900789,F,66,Latino,Mid-School,50K -- 100K,South,Airport Hotels,11/19/2016,11/20/2016,11/11/2016,5,2,0,HB,No,No,No Deposit,Online,Yes,Yes,40,230
64883577,M,59,caucasian,College,25K --50K,South,City Hotel,11/19/2016,11/20/2016,7/31/2016,3,1,0,BB,No,No,No Deposit,Online,Yes,No,0,190
55378041,F,21,African American,College,<25K,West,City Hotel,11/19/2016,11/21/2016,6/28/2016,3,1,1,HB,No,No,No Deposit,Online,No,Yes,25,196
53798465,M,68,caucasian,College,50K -- 100K,South,Airport Hotels,11/21/2016,11/22/2016,4/23/2016,4,2,0,BB,No,No,No Deposit,Online,No,Yes,5,209
60781799,M,29,caucasian,College,>100K,South,Resort,11/19/2016,11/21/2016,8/14/2016,1,1,0,FB,No,No,Refundable,Online,Yes,Yes,5,188
94752419,F,67,African American,College,>100K,West,City Hotel,11/19/2016,11/20/2016,8/31/2016,2,1,0,FB,No,No,No Deposit,Direct,Yes,Yes,10,205
60425470,M,43,African American,Mid-School,<25K,South,City Hotel,11/19/2016,11/20/2016,10/21/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,Yes,5,150
96410589,F,27,Asian American,College,50K -- 100K,South,City Hotel,11/19/2016,11/22/2016,11/16/2016,2,2,0,HB,Yes,Yes,Refundable,Online,No,Yes,5,226
41224708,F,45,caucasian,High-School,<25K,South,Resort,11/19/2016,11/20/2016,4/30/2016,1,3,0,HB,No,No,No Deposit,Direct,Yes,Yes,10,191
74972878,M,38,caucasian,Grad,25K --50K,West,Resort,11/19/2016,11/20/2016,11/16/2016,1,3,0,BB,No,No,Non-Refundable,Online,Yes,Yes,20,248
50824748,F,18,Latino,Mid-School,<25K,East,City Hotel,11/20/2016,11/21/2016,5/3/2016,2,1,0,BB,No,No,Refundable,Online,Yes,Yes,5,154
